,application,sm_app_clock,gr_engine_active,sm_active,sm_occupancy,TENSO,dram_active,fp64_active,fp32_active,FP16A,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,MUSAM,GUSAM,power_usage,total_energy_consumption,run_time,fp_active,predicted_power_usage,predicted_run_time,energy,predicted_energy
0,bfs,510,0.93710887,0,0,0,0.131552639,0,0.002858248,0,16715185.85,17910119.06,92.93119646,16.80077369,16.1635811,92.56728378,52.77245068,1425.272,30.69,0.002858248,51.4276366,30.71693809,1619.586511,1579.69953
1,bfs,517,0.940353241,0,0,0,0.13135126,0,0.002887631,0,16088359.42,17524727.42,90.96178885,16.42938013,15.9552788,90.65638268,52.25164421,1424.151,30.91333333,0.002887631,52.45657831,30.89498809,1615.272495,1620.645362
2,bfs,525,0.937377847,0,0,0,0.130519362,0,0.002751424,0,16269242.04,21165787.52,91.16144647,16.50711845,15.86389522,90.52818907,52.60974003,1438.785,30.81666667,0.002751424,52.33376796,30.85478095,1621.256822,1614.746947
3,bfs,532,0.963476712,0,0,0,0.070071233,0,0.00249726,0,7456629.238,8782252.449,92.48356164,18.29452055,17.3630137,91.87945205,49.32266575,162.687,30.97,0.00249726,48.58128997,30.93692381,1527.522958,1502.955666
4,bfs,540,0.937443195,0,0,0,0.133754614,0,0.002762976,0,16745660.36,17596668.64,91.37399077,16.54469435,15.95155709,90.93915802,53.04529037,1452.874,30.91,0.002762976,52.61274447,30.86361191,1639.629925,1623.819327
5,bfs,547,0.930164687,0,0,0,0.126394563,0,0.002839272,0,17392704.14,22068564.95,85.09026128,15.24544735,14.5837952,84.5246767,51.98867933,1433.53,30.88,0.002839272,52.61022223,30.8821381,1605.410418,1624.716148
6,bfs,555,0.936747297,0,0,0,0.13145973,0,0.002723243,0,16495816.58,19743410.21,91.67243243,16.60081081,16.06810811,91.32135135,53.0637273,1442.8,30.82,0.002723243,52.46609813,30.83361429,1635.424075,1617.719433
7,bfs,562,0.938032548,0,0,0,0.13471633,0,0.002633277,0,18473254.09,33892333.14,92.91386083,16.83277217,16.38075196,92.68939394,52.20415713,1407.868,30.63666667,0.002633277,53.20497091,30.70186191,1599.361361,1633.49167
8,bfs,570,0.934624073,0,0,0,0.129915003,0,0.002426127,0,16148009.29,18366708.85,91.09298346,16.52281803,15.87906446,90.5855676,52.2438186,1428.655,30.94,0.002426127,52.93658715,30.92588809,1616.423747,1637.11097
9,bfs,577,0.935468785,0,0,0,0.129816298,0,0.002519337,0,17890007.47,33307047.33,91.05220994,16.51049724,16.02099448,90.74281768,52.28642155,1428.518,30.96333333,0.002519337,52.38672866,30.92898333,1618.961899,1620.268257
