,power_usage,application,fp_active,dram_active,sm_app_clock,run_time,energy,predicted_power_usage,predicted_run_time,predicted_energy
0,87.729,dgemm,0.861,0.203,510,10.95,960.63255,88.88878875,10.8111375,960.9889174
1,88.327,dgemm,0.854,0.21,517,10.88,960.99776,88.8547275,10.8059,960.1552999
2,88.859,dgemm,0.848,0.207,525,10.8,959.6772,89.12652,10.7579125,958.8153036
3,89.376,dgemm,0.842,0.208,532,10.73,959.00448,89.7085975,10.70535,960.3619342
4,89.905,dgemm,0.835,0.214,540,10.66,958.3873,90.406115,10.5604625,954.7303872
5,90.329,dgemm,0.828,0.202,547,10.6,957.4874,90.55883625,10.62595,962.2736661
6,90.862,dgemm,0.82,0.212,555,10.54,957.68548,91.1950825,10.4915375,956.7766279
7,91.256,dgemm,0.816,0.215,562,10.48,956.36288,92.1226175,10.420925,960.0028878
8,91.795,dgemm,0.809,0.222,570,10.42,956.5039,92.744095,10.11565,938.1668046
9,92.215,dgemm,0.804,0.217,577,10.3,949.8145,92.95995625,10.1344,942.0933806
10,94.466,dgemm,0.819,0.229,585,9.99,943.71534,96.7857975,10.00675,968.5112791
11,94.917,dgemm,0.815,0.226,592,9.92,941.57664,95.31707375,9.9547625,948.8588314
12,95.504,dgemm,0.81,0.223,600,9.86,941.66944,96.5003925,9.715125,937.5133757
13,95.968,dgemm,0.805,0.225,607,9.71,931.84928,97.9371475,9.6464375,944.7445723
14,99.831,dgemm,0.841,0.237,615,9.27,925.43337,101.3449012,9.2531625,937.7608394
15,100.529,dgemm,0.839,0.241,622,9.22,926.87738,101.107465,9.190625,929.2407955
16,101.269,dgemm,0.837,0.244,630,9.16,927.62404,102.2667813,8.9444875,914.723947
17,101.74,dgemm,0.833,0.24,637,9.02,917.6948,102.9118625,8.960925,922.1854815
18,102.686,dgemm,0.834,0.243,645,8.59,882.07274,105.6276138,8.896175,939.6817372
19,107.366,dgemm,0.871,0.263,652,8.53,915.83198,105.6403188,8.5862,907.0489053
20,107.85,dgemm,0.867,0.272,660,8.48,914.568,107.836485,8.3394625,899.2983228
21,108.413,dgemm,0.863,0.273,667,8.35,905.24855,108.4272625,8.3253875,902.6989759
22,108.975,dgemm,0.859,0.267,675,7.98,869.6205,111.0160738,8.4055375,933.1497714
23,114.77,dgemm,0.903,0.293,682,7.89,905.5353,113.076315,7.7607375,877.5555982
24,115.133,dgemm,0.899,0.196,690,7.83,901.49139,109.4995487,8.173325,894.9753989
25,116.014,dgemm,0.898,0.296,697,7.78,902.58892,115.454995,7.673175,885.9063813
26,116.649,dgemm,0.894,0.297,705,7.47,871.36803,116.3553912,7.71635,897.8389229
27,119.34,dgemm,0.909,0.307,712,7.28,868.7952,117.3354613,7.600275,891.7817731
28,122.381,dgemm,0.927,0.325,720,7.23,884.81463,122.347095,7.112675,870.2151239
29,123.04,dgemm,0.923,0.327,727,7.18,883.4272,122.5087237,7.13975,874.68166
